transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
15383,Brighton,0,0,3,0,1,2023-05-28T15:30:00Z,0,1.49,1,22.2,3,0,28687,3.0,2022-23,0.00,0.0,1,50,756926,31,0,true,14,90,0,0,Aston Villa,372,0.00,0.00,13304,38,Emiliano Martínez,0.0,GK,2.2,2,0
-113,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,75,0.0,2022-23,0.00,0.0,0,42,18164,32,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,188,38,Calum Chambers,0.0,DEF,0.0,2,0
1682,Brighton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.49,1,6.2,0,0,2709,2.0,2022-23,0.16,12.2,1,45,141022,33,0,true,9,90,0,0,Aston Villa,372,0.09,0.25,1027,38,Lucas Digne,5.0,DEF,2.3,2,0
-69,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,85,0.0,2022-23,0.00,0.0,0,49,7462,34,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,154,38,Bertrand Traoré,0.0,MID,0.0,2,0
-2345,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,331,0.0,2022-23,0.00,0.0,0,39,160569,35,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,2676,38,Robin Olsen,0.0,GK,0.0,2,0
-39,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,43,21681,36,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,39,38,Morgan Sanson,0.0,MID,0.0,2,0
591,Brighton,0,0,1,0,1,2023-05-28T15:30:00Z,0,1.49,1,7.0,0,0,1610,1.0,2022-23,0.02,4.4,1,51,65533,37,0,true,1,90,0,1,Aston Villa,372,0.07,0.09,1019,38,John McGinn,21.0,MID,3.2,2,0
-2,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,44,1014,38,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,2,38,Kortney Hause,0.0,DEF,0.0,2,0
9478,Brighton,0,0,1,0,1,2023-05-28T15:30:00Z,0,1.49,1,7.2,0,0,42596,1.0,2022-23,0.00,0.5,1,47,1424364,39,0,true,5,90,0,1,Aston Villa,372,0.00,0.00,33118,38,Tyrone Mings,0.0,DEF,0.8,2,0
33970,Brighton,0,3,9,0,1,2023-05-28T15:30:00Z,0,1.49,1,45.6,0,0,115289,9.0,2022-23,0.03,11.8,1,73,1467171,40,1,true,34,90,0,0,Aston Villa,372,1.01,1.04,81319,38,Ollie Watkins,40.0,FWD,9.7,2,0
