name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Orel Mangala,MID,Nott'm Forest,0.8,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,2393,0,0,4,0.0,0,-4,29,33,49,False,0,West Ham,Mangala
Luke Plange,FWD,Crystal Palace,0.0,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,27900,0,0,0,0.0,0,-218,0,218,45,True,0,Liverpool,Plange
Cristian Romero,DEF,Spurs,3.8,0,0,25,1,0.4,443,0.01,0.01,0.0,0.41,249,0,0,2.6,24.0,2023-02-26T13:30:00Z,90,0,0,0,0,25,0,148435,1,0,2,2.0,6,5425,7551,2126,49,True,0,Chelsea,Romero
Jack Harrison,MID,Leeds,3.5,1,0,19,1,31.8,233,0.05,0.09,0.04,0.37,245,0,0,6.8,27.0,2023-02-25T15:00:00Z,90,0,0,0,0,25,0,186499,1,0,1,9.0,6,950,8003,7053,58,True,0,Southampton,Harrison
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0,0.0,575,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,5339,0,0,4,0.0,0,-58,28,86,59,True,0,Nott'm Forest,Cornet
Luis Sinisterra Lucumí,MID,Leeds,0.2,0,0,0,0,0.0,508,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,26245,0,0,1,0.0,0,-940,46,986,65,True,0,Southampton,Sinisterra
Nathaniel Clyne,DEF,Crystal Palace,2.0,0,0,16,1,5.8,157,0.02,0.02,0.0,0.9,242,0,0,1.0,4.4,2023-02-25T19:45:00Z,90,0,0,0,0,25,0,16436,1,0,0,0.0,5,-205,596,801,45,True,1,Liverpool,Clyne
Stuart Armstrong,MID,Southampton,1.0,0,0,1,1,1.6,405,0.0,0.07,0.07,0.52,245,0,0,0.7,0.0,2023-02-25T15:00:00Z,62,0,0,0,0,25,0,7680,1,0,1,6.0,2,348,513,165,47,False,1,Leeds,S.Armstrong
Oriol Romeu Vidal,MID,Southampton,0.0,0,0,0,0,0.0,402,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,3295,0,0,1,0.0,0,-11,0,11,48,False,0,Leeds,Romeu
Tyler Roberts,MID,Leeds,0.0,0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,62,0,0,1,0.0,0,0,0,0,50,True,0,Southampton,Roberts
Lamare Bogarde,DEF,Aston Villa,0.0,0,0,0,0,0.0,638,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,4693,0,2,0,0.0,0,-223,0,223,40,False,0,Everton,Bogarde
Lewis Brunt,DEF,Leicester,-0.5,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,246,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,36063,0,1,0,0.0,0,-323,487,810,39,True,0,Arsenal,Brunt
Jannik Vestergaard,DEF,Leicester,-0.5,0,0,0,0,0.0,253,0.0,0.0,0.0,0.0,246,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,606743,0,1,0,0.0,0,-15304,5410,20714,39,True,0,Arsenal,Vestergaard
Trevoh Chalobah,DEF,Chelsea,0.2,0,0,0,0,0.0,141,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2023-02-26T13:30:00Z,0,0,0,0,0,25,0,56267,0,0,2,0.0,0,-3136,553,3689,45,False,0,Spurs,Chalobah
Chris Richards,DEF,Crystal Palace,0.0,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,5968,0,0,0,0.0,0,-37,87,124,44,True,0,Liverpool,Richards
Cameron Plain,GK,Bournemouth,-1.5,0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,0,0,0,0,25,0,1736,0,4,1,0.0,0,-12,71,83,40,True,0,Man City,Plain
Diogo Teixeira da Silva,FWD,Liverpool,4.6,0,0,2,1,13.6,288,0.02,0.36,0.34,0.59,242,0,0,4.4,5.8,2023-02-25T19:45:00Z,70,0,0,0,0,25,0,57881,1,0,0,25.0,2,16017,20874,4857,88,False,0,Crystal Palace,Diogo Jota
Diogo Teixeira da Silva,FWD,Liverpool,4.6,1,0,17,1,25.4,288,0.62,0.86,0.24,0.93,67,0,0,5.6,17.0,2023-03-01T20:00:00Z,75,0,0,0,0,25,0,57881,1,0,2,14.0,5,16017,20874,4857,88,True,0,Wolves,Diogo Jota
Rodrigo Moreno,MID,Leeds,0.0,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,438406,0,0,1,0.0,0,-36898,266,37164,63,True,0,Southampton,Rodrigo
Ben Greenwood,DEF,Bournemouth,-1.5,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,0,0,0,0,25,0,1385,0,4,1,0.0,0,236,380,144,40,True,0,Man City,Greenwood
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,0,0,0,0,25,0,436,0,1,1,0.0,0,16,36,20,50,False,0,Fulham,Chiquinho
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-03-01T20:00:00Z,0,0,0,0,0,25,0,436,0,0,2,0.0,0,16,36,20,50,False,0,Liverpool,Chiquinho
Mohammed Salisu,DEF,Southampton,-0.3,0,0,0,0,0.0,420,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,20801,0,0,1,0.0,0,-460,695,1155,44,False,0,Leeds,Salisu
