name,transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,expected_goal_involvements,expected_goals,fixture,transfers_out,round,position,threat,ict_index,penalties_saved,team_h_score
Sil Swinkels,64,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,152,-0.5,0.0,0.0,0,40,1667,744,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,88,31,DEF,0,0.0,0,3
Oliwier Zych,24,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,56,-0.5,0.0,0.0,0,40,650,745,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,32,31,GK,0,0.0,0,3
James Wright,54,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,67,-0.5,0.0,0.0,0,40,140,753,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,13,31,GK,0,0.0,0,3
Sebastian Revan,66,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,97,-0.5,0.0,0.0,0,40,230,754,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,31,31,DEF,0,0.0,0,3
Travis Patterson,0,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.9,0.0,0.0,0,45,0,755,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,0,31,MID,0,0.0,0,3
Adam Smith,-51,Spurs,0,0,0,1,1,2023-04-15T14:15:00Z,0,1.1,3,10.0,0,0,664,1.7,0.0,0.2,0,43,21192,57,0,4,False,41,0,0,Bournemouth,0.0,0.0,308,715,31,DEF,0,1.0,0,2
Junior Stanislas,20,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,32,0.0,0.0,0.0,0,48,2219,58,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,12,31,MID,0,0.0,0,2
Ryan Fredericks,-43,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,11,0.0,0.0,0.0,0,44,2746,59,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,54,31,DEF,0,0.0,0,2
David Brooks,2,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,40,-0.1,0.0,0.0,0,53,1426,60,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,38,31,MID,0,0.0,0,2
Jamal Lowe,-9,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,52,2635,61,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,9,31,MID,0,0.0,0,2
Kieffer Moore,-1850,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,852,-0.3,0.0,0.0,0,50,86372,62,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,2702,31,FWD,0,0.0,0,2
