transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
34,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,49,0.0,0.00,0.0,0,45,99,755,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,15,33,Travis Patterson,0.0,MID,0.0,1,0
-45,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,787,1.7,0.00,0.0,0,43,22282,57,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,832,33,Adam Smith,0.0,DEF,0.0,null,0
7,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,12,0.0,0.00,0.0,0,48,2190,58,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,5,33,Junior Stanislas,0.0,MID,0.0,null,0
-17,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,9,0.0,0.00,0.0,0,44,2706,59,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,26,33,Ryan Fredericks,0.0,DEF,0.0,null,0
-10,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,34,0.2,0.00,0.0,0,53,1487,60,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,44,33,David Brooks,0.0,MID,0.0,null,0
-5,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,0,0.0,0.00,0.0,0,52,2625,61,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,5,33,Jamal Lowe,0.0,MID,0.0,null,0
-668,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,1031,0.0,0.00,0.0,0,49,84639,62,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,1699,33,Kieffer Moore,0.0,FWD,0.0,null,0
-1,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,0,0.0,0.00,0.0,0,47,1691,63,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,1,33,Emiliano Marcondes,0.0,MID,0.0,null,0
-117,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,93,1.7,0.00,0.0,0,47,43543,64,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,210,33,Jefferson Lerma Solís,0.0,MID,0.0,null,0
-12,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,13,0.0,0.00,0.0,0,43,4650,65,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,25,33,Jack Stacey,0.0,DEF,0.0,null,0
