name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,season
Emiliano Buendía,12185,Brentford,0,0,5,0,1,2023-04-22T14:00:00Z,0,2.75,1,31.2,0,1,20096,4.0,0.93,48.7,1,57,128354,42,0,False,18,90,0,0,Aston Villa,313,0.52,1.45,7911,32,25.0,MID,10.5,1,0,2022-23
Matty Cash,-14514,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,131,0.0,0.0,0.0,0,46,372763,43,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,14645,32,0.0,DEF,0.0,1,0,2022-23
Ezri Konsa Ngoyo,20068,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.75,1,9.8,0,0,23258,4.2,0.01,11.6,1,44,93523,44,0,False,14,90,0,0,Aston Villa,313,0.0,0.01,3190,32,0.0,DEF,2.1,1,0,2022-23
Leon Bailey,-28330,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,159,0.0,0.0,0.0,0,44,321991,45,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,28489,32,0.0,MID,0.0,1,0,2022-23
Douglas Luiz,8214,Brentford,0,2,8,0,1,2023-04-22T14:00:00Z,0,2.75,1,49.6,0,0,11660,4.4,0.02,13.3,1,48,79693,46,1,False,26,90,0,1,Aston Villa,313,0.42,0.44,3446,32,20.0,MID,8.3,1,0,2022-23
Jacob Ramsey,97180,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.75,1,3.8,0,0,100734,5.8,0.03,21.8,1,52,209229,47,0,False,0,90,0,0,Aston Villa,313,0.49,0.52,3554,32,13.0,MID,3.9,1,0,2022-23
Tim Iroegbunam,-3,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,45,1837,49,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,3,32,0.0,MID,0.0,1,0,2022-23
Diego Carlos,1748,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,2358,0.0,0.0,0.0,0,47,26192,50,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,610,32,0.0,DEF,0.0,1,0,2022-23
Anwar El Ghazi,-5,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,48,3317,51,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,5,32,0.0,MID,0.0,1,0,2022-23
Keinan Davis,-6,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,54,3920,52,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,6,32,0.0,FWD,0.0,1,0,2022-23
Boubacar Kamara,-52,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,11,0.0,0.0,0.0,0,48,9864,53,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,63,32,0.0,MID,0.0,1,0,2022-23
Cameron Archer,-1488,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,42,201088,54,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,1488,32,0.0,FWD,0.0,1,0,2022-23
Jaden Philogene-Bidace,-1,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,45,216,55,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,1,32,0.0,MID,0.0,1,0,2022-23
Frédéric Guilbert,-516,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,39,67678,56,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,516,32,0.0,DEF,0.0,1,0,2022-23
Leander Dendoncker,118,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.19,1,10.0,0,0,176,1.4,0.0,1.2,1,47,7323,479,0,False,8,65,0,0,Aston Villa,313,0.0,0.0,58,32,2.0,MID,1.3,1,0,2022-23
Ludwig Augustinsson,-13,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,43,4383,525,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,13,32,0.0,DEF,0.0,1,0,2022-23
Kaine Kesler Hayden,-18,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,40,4889,537,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,18,32,0.0,DEF,0.0,1,0,2022-23
Ashley Young,17212,Brentford,0,0,1,0,1,2023-04-22T14:00:00Z,0,2.19,1,4.2,0,0,19289,4.6,0.0,0.5,1,43,98948,538,0,False,4,65,0,1,Aston Villa,313,0.0,0.0,2077,32,0.0,DEF,0.5,1,0,2022-23
Lamare Bogarde,-44,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,40,4232,638,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,44,32,0.0,DEF,0.0,1,0,2022-23
Filip Marschall,-11,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,40,594,670,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,11,32,0.0,GK,0.0,1,0,2022-23
Kadan Young,4,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,59,0.0,0.0,0.0,0,45,633,672,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,55,32,0.0,MID,0.0,1,0,2022-23
Álex Moreno,177780,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.19,1,4.2,0,0,181643,5.0,0.0,0.8,1,45,476116,694,0,False,5,65,0,0,Aston Villa,313,0.03,0.03,3863,32,4.0,DEF,0.9,1,0,2022-23
Viljami Sinisalo,27,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,85,0.0,0.0,0.0,0,40,1311,707,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,58,32,0.0,GK,0.0,1,0,2022-23
Jhon Durán,-11,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,316,0.2,0.0,0.0,0,55,1971,711,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,327,32,0.0,FWD,0.0,1,0,2022-23
Sil Swinkels,31,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,140,0.0,0.0,0.0,0,40,1848,744,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,109,32,0.0,DEF,0.0,1,0,2022-23
Oliwier Zych,8,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,43,0.0,0.0,0.0,0,40,696,745,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,35,32,0.0,GK,0.0,1,0,2022-23
James Wright,21,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,57,0.0,0.0,0.0,0,40,197,753,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,36,32,0.0,GK,0.0,1,0,2022-23
Sebastian Revan,53,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,104,0.0,0.0,0.0,0,40,378,754,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,51,32,0.0,DEF,0.0,1,0,2022-23
Travis Patterson,43,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,50,0.0,0.0,0.0,0,45,79,755,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,7,32,0.0,MID,0.0,1,0,2022-23
Adam Smith,1034,West Ham,0,0,1,0,3,2023-04-23T13:00:00Z,0,1.23,4,14.2,0,0,1595,1.5,0.04,26.7,1,43,23384,57,0,True,10,60,0,0,Bournemouth,312,0.0,0.04,561,32,2.0,DEF,4.3,0,0,2022-23
