name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season
Tosin Adarabioyo,DEF,Fulham,1.9,0,0,16,0,14,209,0.13,0.13,0,1.73,276,1,0,3.6,22,2023-05-03T19:00:00Z,90,Liverpool,0,0,0,0,34,0,12620,1,0,1,0,2,-71,207,278,44,FALSE,0,2022-23
Kalvin Phillips,MID,Man City,3.2,0,0,0,0,0,325,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Fulham,0,0,0,0,34,0,13369,0,2,1,0,0,-3,37,40,48,FALSE,0,2022-23
Kalvin Phillips,MID,Man City,3.2,0,0,3,0,0.1,325,0,0,0,0,277,0,0,0,0.2,2023-05-03T19:00:00Z,1,West Ham,0,0,0,0,34,0,13369,0,0,3,0,1,-3,37,40,48,TRUE,0,2022-23
Cafú,MID,Nott'm Forest,0,0,0,0,0,0,383,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Brentford,0,0,0,0,34,0,33341,0,1,2,0,0,-90,95,185,42,FALSE,0,2022-23
Marek Rodák,GK,Fulham,-1.5,0,0,0,0,0,213,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,18156,0,2,1,0,0,-89,125,214,43,TRUE,0,2022-23
Marek Rodák,GK,Fulham,-1.5,0,0,0,0,0,213,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,18156,0,0,1,0,0,-89,125,214,43,FALSE,0,2022-23
Ryan Fraser,MID,Newcastle,1,0,0,0,0,0,359,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Southampton,0,0,0,0,34,0,7579,0,1,3,0,0,-29,52,81,52,TRUE,0,2022-23
Andrey Nascimento dos Santos,MID,Chelsea,0,0,0,0,0,0,702,0,0,0,0,331,0,0,0,0,2023-05-02T19:00:00Z,0,Arsenal,0,0,0,0,34,0,204,0,1,3,0,0,-3,0,3,45,FALSE,0,2022-23
Luke Thomas,DEF,Leicester,0.2,0,0,7,0,12.3,270,0.01,0.03,0.02,3.3,337,2,0,3.7,22.8,2023-05-01T19:00:00Z,87,Everton,0,0,0,0,34,0,13705,1,2,2,2,0,161,543,382,39,TRUE,1,2022-23
Karl Darlow,GK,Newcastle,0,0,0,0,0,0,353,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Southampton,0,0,0,0,34,0,85450,0,1,3,0,0,-643,0,643,39,TRUE,0,2022-23
Rodri,MID,Man City,6.8,0,0,16,0,4.4,315,0.01,0.12,0.11,0.17,336,1,0,3.8,16.6,2023-04-30T13:00:00Z,90,Fulham,0,0,0,0,34,0,210355,1,2,1,17,2,6547,10721,4174,56,FALSE,0,2022-23
Rodri,MID,Man City,6.8,0,0,15,1,19.5,315,0.12,0.39,0.27,0.36,277,0,0,5,19.2,2023-05-03T19:00:00Z,90,West Ham,0,0,0,0,34,0,210355,1,0,3,11,3,6547,10721,4174,56,TRUE,0,2022-23
Cristiano Ronaldo,FWD,Man Utd,0,0,0,0,0,0,326,0,0,0,0,339,0,0,0,0,2023-04-30T13:00:00Z,0,Aston Villa,0,0,0,0,34,0,219075,0,0,1,0,0,-223,0,223,102,TRUE,0,2022-23
Cristiano Ronaldo,FWD,Man Utd,0,0,0,0,0,0,326,0,0,0,0,274,0,0,0,0,2023-05-04T19:00:00Z,0,Brighton,0,0,0,0,34,0,219075,0,0,1,0,0,-223,0,223,102,FALSE,0,2022-23
Fraser Forster,GK,Spurs,0.1,0,0,9,0,0,426,0,0,0,2.33,338,4,0,0.2,1.8,2023-04-30T15:30:00Z,90,Liverpool,0,0,0,0,34,0,461562,1,3,4,0,0,-5,7750,7755,39,FALSE,0,2022-23
Alex Oxlade-Chamberlain,MID,Liverpool,1,0,0,0,0,0,278,0,0,0,0,338,0,0,0,0,2023-04-30T15:30:00Z,0,Spurs,0,0,0,0,34,0,1887,0,3,4,0,0,-15,15,30,49,TRUE,0,2022-23
Alex Oxlade-Chamberlain,MID,Liverpool,1,0,0,0,0,0,278,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Fulham,0,0,0,0,34,0,1887,0,0,1,0,0,-15,15,30,49,TRUE,0,2022-23
Ethan Nwaneri,MID,Arsenal,0.5,0,0,0,0,0,630,0,0,0,0,331,0,0,0,0,2023-05-02T19:00:00Z,0,Chelsea,0,0,0,0,34,0,1123,0,1,3,0,0,29,51,22,45,TRUE,0,2022-23
Jack Grealish,MID,Man City,12.8,0,0,10,0,26.9,305,0.17,0.46,0.29,0.17,336,1,0,10.4,20.4,2023-04-30T13:00:00Z,90,Fulham,0,0,0,0,34,0,1847483,1,2,1,57,1,256406,359142,102736,73,FALSE,1,2022-23
Jack Grealish,MID,Man City,12.8,1,0,29,1,58.8,305,0.91,1.07,0.16,0.36,277,0,0,10.3,27,2023-05-03T19:00:00Z,90,West Ham,0,0,0,0,34,0,1847483,1,0,3,17,6,256406,359142,102736,73,TRUE,0,2022-23
James McAtee,MID,Man City,0,0,0,0,0,0,317,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Fulham,0,0,0,0,34,0,393,0,2,1,0,0,0,0,0,45,FALSE,0,2022-23
James McAtee,MID,Man City,0,0,0,0,0,0,317,0,0,0,0,277,0,0,0,0,2023-05-03T19:00:00Z,0,West Ham,0,0,0,0,34,0,393,0,0,3,0,0,0,0,0,45,TRUE,0,2022-23
Will Smallbone,MID,Southampton,0,0,0,0,0,0,415,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Newcastle,0,0,0,0,34,0,736,0,1,3,0,0,-2,0,2,45,FALSE,0,2022-23
Martial Godo,MID,Fulham,-1.5,0,0,0,0,0,641,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,619,0,2,1,0,0,-11,22,33,45,TRUE,0,2022-23
Martial Godo,MID,Fulham,-1.5,0,0,0,0,0,641,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,619,0,0,1,0,0,-11,22,33,45,FALSE,0,2022-23
Chris Wood,FWD,Nott'm Forest,0,0,0,0,0,0,354,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Brentford,0,0,0,0,34,0,62834,0,1,2,0,0,-604,110,714,56,FALSE,0,2022-23
Darren Randolph,GK,Bournemouth,-0.5,0,0,0,0,0,571,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Leeds,0,0,0,0,34,0,16257,0,1,4,0,0,35,132,97,40,TRUE,0,2022-23
Leander Dendoncker,MID,Aston Villa,2.2,0,0,9,0,0.7,479,0,0,0,1.01,339,1,0,0.5,4,2023-04-30T13:00:00Z,63,Man Utd,0,0,0,0,34,0,7299,1,0,1,0,2,-1,80,81,47,FALSE,0,2022-23
Keylor Navas,GK,Nott'm Forest,2,0,0,20,0,0,729,0,0,0,1.63,333,2,0,3.4,34,2023-04-29T14:00:00Z,90,Brentford,0,0,0,0,34,6,103381,1,1,2,0,3,-3177,3558,6735,45,FALSE,0,2022-23
Allan,MID,Everton,0,0,0,0,0,0,183,0,0,0,0,337,0,0,0,0,2023-05-01T19:00:00Z,0,Leicester,0,0,0,0,34,0,6151,0,2,2,0,0,-6,0,6,48,FALSE,0,2022-23
Ibrahima Konaté,DEF,Liverpool,4.4,0,0,7,0,4.6,290,0.01,0.01,0,1.99,338,3,0,2.2,15.8,2023-04-30T15:30:00Z,90,Spurs,0,0,0,0,34,0,144587,1,3,4,2,0,-7805,8975,16780,48,TRUE,1,2022-23
Ibrahima Konaté,DEF,Liverpool,4.4,0,0,27,1,0.9,290,0.01,0.01,0,0.69,276,0,0,1.9,16.4,2023-05-03T19:00:00Z,90,Fulham,0,0,0,0,34,0,144587,1,0,1,2,6,-7805,8975,16780,48,TRUE,0,2022-23
Aleksandar Mitrović,FWD,Fulham,0,0,0,0,0,0,210,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,1363866,0,2,1,0,0,-16324,195,16519,66,TRUE,0,2022-23
Aleksandar Mitrović,FWD,Fulham,0,0,0,0,0,0,210,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,1363866,0,0,1,0,0,-16324,195,16519,66,FALSE,0,2022-23
Christian Eriksen,MID,Man Utd,3,0,0,10,1,23.8,519,0.04,0.19,0.15,0.3,339,0,0,3.6,1,2023-04-30T13:00:00Z,75,Aston Villa,0,0,0,0,34,0,243666,1,0,1,11,3,5435,7888,2453,62,TRUE,0,2022-23
Christian Eriksen,MID,Man Utd,3,0,0,0,0,0,519,0,0,0,0,274,0,0,0,0,2023-05-04T19:00:00Z,0,Brighton,0,0,0,0,34,0,243666,0,0,1,0,0,5435,7888,2453,62,FALSE,0,2022-23
Joe Willock,MID,Newcastle,3.8,0,0,10,0,29.4,373,0.24,0.46,0.22,0.83,340,1,0,6.7,14.6,2023-04-30T13:00:00Z,90,Southampton,0,0,0,0,34,0,126060,1,1,3,23,2,978,14958,13980,47,TRUE,0,2022-23
Yerson Mosquera Valdelamar,DEF,Wolves,0,0,0,0,0,0,494,0,0,0,0,334,0,0,0,0,2023-04-29T14:00:00Z,0,Brighton,0,0,0,0,34,0,98249,0,0,6,0,0,-699,0,699,39,FALSE,0,2022-23
Roméo Lavia,MID,Southampton,0.6,0,0,14,0,14.9,321,0.01,0.01,0,4.47,340,3,0,2.7,12,2023-04-30T13:00:00Z,90,Newcastle,0,0,0,0,34,0,20654,1,1,3,0,1,82,410,328,45,FALSE,1,2022-23
Ellis Simms,FWD,Everton,0.8,0,0,0,0,0,686,0,0,0,0,337,0,0,0,0,2023-05-01T19:00:00Z,0,Leicester,0,0,0,0,34,0,20214,0,2,2,0,0,3106,4785,1679,45,FALSE,0,2022-23
Kristoffer Ajer,DEF,Brentford,0,0,0,0,0,0,84,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Nott'm Forest,0,0,0,0,34,0,9108,0,1,2,0,0,-107,21,128,45,TRUE,0,2022-23
Emmanuel Dennis,FWD,Nott'm Forest,0.4,0,0,0,0,0,585,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Brentford,0,0,0,0,34,0,12784,0,1,2,0,0,10,329,319,56,FALSE,0,2022-23
Gustavo Scarpa,MID,Nott'm Forest,0,0,0,0,0,0,681,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Brentford,0,0,0,0,34,0,648,0,1,2,0,0,-12,21,33,47,FALSE,0,2022-23
Will Hughes,MID,Crystal Palace,1.6,0,0,0,0,0,163,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,0,West Ham,0,0,0,0,34,0,3094,0,3,4,0,0,2,28,26,48,TRUE,0,2022-23
Joe Ayodele-Aribo,MID,Southampton,-0.6,0,0,0,0,0,512,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Newcastle,0,0,0,0,34,0,29473,0,1,3,0,0,-98,16,114,50,FALSE,0,2022-23
Orel Mangala,MID,Nott'm Forest,1.4,0,0,7,1,4.9,536,0.01,0.01,0,1.49,333,0,0,1.2,7.2,2023-04-29T14:00:00Z,80,Brentford,0,0,0,0,34,0,2554,1,1,2,0,3,28,73,45,49,FALSE,0,2022-23
Luke Plange,FWD,Crystal Palace,0,0,0,0,0,0,496,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,0,West Ham,0,0,0,0,34,0,27086,0,3,4,0,0,-58,0,58,45,TRUE,0,2022-23
Cristian Romero,DEF,Spurs,0.3,1,0,25,0,13.2,443,0.16,0.63,0.47,2.33,338,4,0,4.2,24.6,2023-04-30T15:30:00Z,90,Liverpool,0,0,0,0,34,0,168561,1,3,4,4,3,-3932,1231,5163,49,FALSE,0,2022-23
Jack Harrison,MID,Leeds,3.7,0,0,14,0,39.9,233,0.5,0.63,0.13,1.98,332,4,0,6.6,21,2023-04-30T13:00:00Z,90,Bournemouth,0,0,0,0,34,0,265863,1,1,4,5,2,-24644,7272,31916,57,FALSE,0,2022-23
