name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Fraser Forster,GK,Spurs,0.5,0,0,0,0,0.0,426,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,455539,0,1,0,0.0,0,12507,24076,11569,39,False,0,Brighton,2022-23
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,278,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,0,0,0,0,10,0,722,0,2,3,0.0,0,-7,17,24,49,False,0,Arsenal,2022-23
Ethan Nwaneri,MID,Arsenal,-0.2,0,0,0,0,0.0,630,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,0,0,0,0,10,0,542,0,2,3,0.0,0,43,166,123,45,True,0,Liverpool,2022-23
Jack Grealish,MID,Man City,5.3,0,0,4,0,25.7,305,0.0,0.0,0.0,0.0,97,0,0,5.6,11.6,2022-10-08T14:00:00Z,32,0,0,0,0,10,0,132218,0,0,4,19.0,1,7181,13143,5962,68,True,0,Southampton,2022-23
James McAtee,MID,Man City,0.0,0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,467,0,0,4,0.0,0,-15,0,15,45,True,0,Southampton,2022-23
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,1071,0,0,4,0.0,0,-45,0,45,45,False,0,Man City,2022-23
Martial Godo,MID,Fulham,1.2,0,0,0,0,0.0,641,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,0,0,1,3,0.0,0,0,0,0,45,False,0,West Ham,2022-23
Chris Wood,FWD,Newcastle,0.7,0,0,3,0,0.0,354,0.0,0.0,0.0,0.0,98,0,0,0.2,2.0,2022-10-08T14:00:00Z,6,0,0,0,0,10,0,58357,0,1,5,0.0,1,-1457,3258,4715,56,True,0,Brentford,2022-23
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,571,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,16174,0,1,3,0.0,0,-188,302,490,40,True,0,Fulham,2022-23
Leander Dendoncker,MID,Aston Villa,1.2,0,0,3,0,2.3,479,0.0,0.0,0.0,0.0,99,0,0,0.4,1.8,2022-10-10T19:00:00Z,13,0,0,0,0,10,0,8849,0,1,1,0.0,1,-392,199,591,48,False,0,Nott'm Forest,2022-23
