name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Jacob Murphy,MID,Newcastle,2.0,0,0,7,1,16.5,304,262,0,0,3.4,3.2,2022-02-26T15:00:00Z,63,0,0,0,0,27,0,32768,2,0,14.0,3,147,746,599,47,False,0,Brentford,Murphy
Thierry Small,DEF,Southampton,0.5,0,0,0,0,0.0,667,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,3121,0,2,0.0,0,46,115,69,40,True,0,Norwich,Small
Dwight McNeil,MID,Burnley,3.6,0,0,12,0,5.3,118,265,1,0,1.6,10.2,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,52574,1,1,0.0,2,22360,23464,1104,57,False,0,Crystal Palace,McNeil
Dwight McNeil,MID,Burnley,3.6,0,0,16,0,14.8,118,213,2,0,4.5,20.0,2022-03-01T19:45:00Z,90,0,0,0,0,27,0,52574,2,0,10.0,2,22360,23464,1104,57,True,0,Leicester,McNeil
Nathan Patterson,DEF,Everton,-1.0,0,0,0,0,0.0,674,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,1666,1,0,0.0,0,-124,41,165,43,True,0,Man City,Patterson
Lucas Digne,DEF,Aston Villa,2.8,0,0,22,1,15.7,168,263,0,0,3.6,20.6,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,823150,2,0,0.0,6,28520,49729,21209,51,False,0,Brighton,Digne
Yan Valery,DEF,Southampton,0.5,0,0,0,0,0.0,546,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,47044,0,2,0.0,0,-330,721,1051,39,True,0,Norwich,Valery
Danny Ward,GK,Leicester,0.5,0,0,0,0,0.0,204,213,0,0,0.0,0.0,2022-03-01T19:45:00Z,0,0,0,0,0,27,0,339841,2,0,0.0,0,-3146,441,3587,40,False,0,Burnley,Ward
Jarrad Branthwaite,DEF,Everton,-1.0,0,0,0,0,0.0,544,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,30145,1,0,0.0,0,-1296,469,1765,40,True,0,Man City,Branthwaite
Oliver Skipp,MID,Spurs,0.0,0,0,0,0,0.0,373,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,58385,4,0,0.0,0,-2224,48,2272,44,False,0,Leeds,Skipp
Paul Pogba,MID,Man Utd,4.8,0,0,19,1,38.3,272,268,0,0,7.5,12.4,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,711947,0,0,24.0,3,-2069,18608,20677,74,True,0,Watford,Pogba
Philippe Coutinho Correia,MID,Aston Villa,5.8,0,0,9,1,13.7,681,263,0,0,3.2,9.8,2022-02-26T15:00:00Z,85,0,0,0,0,27,0,1708523,2,0,8.0,3,54231,133919,79688,73,False,0,Brighton,Coutinho
Dominic Calvert-Lewin,FWD,Everton,-0.2,0,0,0,0,0.0,177,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,309804,1,0,0.0,0,-27229,5173,32402,78,True,0,Man City,Calvert-Lewin
Rúben Santos Gato Alves Dias,DEF,Man City,7.0,0,1,25,1,3.7,262,266,0,0,2.1,15.4,2022-02-26T17:30:00Z,90,0,0,0,0,27,0,2490531,1,0,2.0,7,45820,82139,36319,63,False,0,Everton,Dias
Mason Greenwood,MID,Man Utd,0.0,0,0,0,0,0.0,289,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,384600,0,0,0.0,0,-9082,134,9216,71,True,0,Watford,Greenwood
Jesurun Rak-Sakyi,MID,Crystal Palace,0.5,0,0,0,0,0.0,541,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,1976,1,1,0.0,0,-12,31,43,44,True,0,Burnley,Rak-Sakyi
Calum Chambers,DEF,Aston Villa,1.2,0,0,0,0,0.0,10,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,18876,2,0,0.0,0,627,963,336,42,False,0,Brighton,Chambers
Charlie Cresswell,DEF,Leeds,-0.5,0,0,0,0,0.0,563,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,0,0,0,0,27,0,30388,4,0,0.0,0,100,621,521,40,True,0,Spurs,Cresswell
Jarrod Bowen,MID,West Ham,7.0,0,0,1,1,15.8,420,270,0,0,4.8,7.6,2022-02-27T14:00:00Z,90,0,0,0,0,27,0,2930529,0,1,25.0,3,36513,117207,80694,71,True,0,Wolves,Bowen
Armando Broja,FWD,Southampton,3.5,0,0,4,1,26.3,518,269,0,0,6.0,2.8,2022-02-25T20:00:00Z,80,0,0,0,0,27,0,1329770,0,2,31.0,2,212948,237180,24232,55,True,0,Norwich,Broja
Mads Bech Sørensen,DEF,Brentford,-0.5,0,0,0,0,0.0,90,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,4009,2,0,0.0,0,-31,52,83,43,True,0,Newcastle,Sørensen
Nathan Ferguson,DEF,Crystal Palace,0.0,0,0,0,0,0.0,161,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,776,1,1,0.0,0,-13,21,34,45,True,0,Burnley,Ferguson
Asmir Begović,GK,Everton,-1.0,0,0,0,0,0.0,481,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,225586,1,0,0.0,0,-2984,402,3386,40,True,0,Man City,Begović
