name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Konstantinos Mavropanos,DEF,Arsenal,0.0,0,0,0,0,0.0,24,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,55,1,0,0.0,0,0,0,0,45,False,0,Aston Villa
Serge Aurier,DEF,Spurs,0.0,0,0,0,0,0.0,358,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,14161,1,3,0.0,0,-20,0,20,49,True,0,West Ham
Marcus Forss,FWD,Brentford,0.0,0,0,0,0,0.0,88,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,7864,1,2,0.0,0,-105,0,105,53,False,0,Leicester
Joe Gelhardt,FWD,Leeds,0.5,0,0,0,0,0.0,577,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,240490,3,2,0.0,0,10864,25874,15010,46,False,0,Wolves
Jarrod Bowen,MID,West Ham,0.2,0,0,0,0,0.0,420,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,928966,1,3,0.0,0,-377976,1804,379780,68,False,0,Spurs
Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,530,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,23768,1,0,0.0,0,-204,0,204,47,False,0,Aston Villa
Willian,MID,Arsenal,0.0,0,0,0,0,0.0,3,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,6759,1,0,0.0,0,-6,0,6,63,False,0,Aston Villa
Francisco Machado Mota de Castro Trincão,MID,Wolves,2.5,1,2,34,0,28.2,461,300,3,1,14.0,66.2,2022-03-18T20:00:00Z,65,0,0,0,0,30,0,27725,3,2,46.0,12,416,677,261,56,True,0,Leeds
Manuel Lanzini,MID,West Ham,1.6,0,0,16,0,5.1,416,298,2,0,1.6,8.8,2022-03-20T16:30:00Z,83,0,0,0,0,30,0,41444,1,3,2.0,2,1837,3179,1342,57,False,0,Spurs
Archie Gray,MID,Leeds,-0.5,0,0,0,0,0.0,658,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,891,3,2,0.0,0,31,84,53,45,False,0,Wolves
