name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Callum Robinson,0,0,4,0,0.5,453,140,0,0,0.2,1.4,2019-12-01T14:00:00Z,4,0,0,0,0,14,0,26364,1,1,0.0,1,-1178,451,1629,52,False,0,Wolves,Sheffield Utd,MID,0,2019-20
Callum Slattery,0,0,0,0,0.0,327,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,28288,1,2,0.0,0,-309,953,1262,44,True,0,Watford,Southampton,MID,0,2019-20
Callum Wilson,0,0,1,0,13.4,67,139,3,0,2.1,0.0,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,525156,2,3,13.0,2,-88234,12555,100789,76,False,0,Spurs,Bournemouth,FWD,0,2019-20
Calum Chambers,0,0,6,0,3.2,467,137,2,0,9.1,14.8,2019-12-01T14:00:00Z,90,0,0,0,0,14,0,113110,2,2,73.0,0,-4964,4116,9080,44,False,1,Norwich,Arsenal,DEF,0,2019-20
Caoimhin Kelleher,0,0,0,0,0.0,531,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,1912,1,2,0.0,0,-43,16,59,45,True,0,Brighton,Liverpool,GK,0,2019-20
Carlos Sánchez,0,0,0,0,0.0,397,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,24077,1,0,0.0,0,-203,575,778,44,False,0,Chelsea,West Ham,MID,0,2019-20
Carl Jenkinson,0,0,0,0,0.0,9,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,1620,2,2,0.0,0,-15,9,24,45,False,0,Norwich,Arsenal,DEF,0,2019-20
Cenk Tosun,0,0,0,0,0.0,146,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,8708,1,2,0.0,0,-9,582,591,57,False,0,Leicester,Everton,FWD,0,2019-20
Charlie Austin,0,0,0,0,0.0,312,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,3532,1,2,0.0,0,-56,31,87,60,True,0,Watford,Southampton,FWD,0,2019-20
Charlie Daniels,0,0,0,0,0.0,60,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,6403,2,3,0.0,0,-159,9,168,43,False,0,Spurs,Bournemouth,DEF,0,2019-20
