name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Matteo Guendouzi,0,0,15,1,14.4,21,10,0,0,3.6,21.2,2019-08-11T13:00:00Z,90,0,0,0,0,1,0,257779,1,0,0,3,0,0,0,45,False,0,Newcastle,Arsenal,MID,0
Matthew Clarke,0,0,0,0,0.0,43,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,1596,3,0,0,0,0,0,0,45,False,0,Watford,Brighton,DEF,0
Matthew Lowton,0,0,23,1,15.3,85,3,0,0,3.2,14.2,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,16279,0,3,2,6,0,0,0,45,True,0,Southampton,Burnley,DEF,0
Matty James,0,0,0,0,0.0,177,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,16320,0,0,0,0,0,0,0,45,True,0,Wolves,Leicester,MID,0
Matt Doherty,0,0,16,1,1.8,401,5,0,0,0.2,0.0,2019-08-11T13:00:00Z,90,0,0,0,0,1,0,199907,0,0,0,6,0,0,0,60,False,0,Leicester,Wolves,DEF,0
Matt Ritchie,0,0,14,0,32.5,251,10,1,0,4.3,10.6,2019-08-11T13:00:00Z,90,0,0,0,0,1,0,32906,1,0,0,2,0,0,0,55,True,0,Arsenal,Newcastle,DEF,0
Matt Targett,0,0,0,0,0.0,309,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,0,0,0,0,0,1,0,75148,1,3,0,0,0,0,0,45,False,0,Spurs,Aston Villa,DEF,0
Maximillian Aarons,0,0,16,0,1.4,274,1,4,0,2.7,25.8,2019-08-09T19:00:00Z,90,0,0,0,0,1,0,168643,1,4,0,0,0,0,0,45,False,0,Liverpool,Norwich,DEF,0
Max Kilman,0,0,0,0,0.0,408,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,94477,0,0,0,0,0,0,0,40,False,0,Leicester,Wolves,DEF,0
Max Meyer,0,0,5,1,1.0,136,4,0,0,6.9,12.8,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,8467,0,0,55,2,0,0,0,55,True,1,Everton,Crystal Palace,MID,0
Maya Yoshida,0,0,0,0,0.0,310,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,22021,0,3,0,0,0,0,0,45,False,0,Burnley,Southampton,DEF,0
Mesut Özil,0,0,0,0,0.0,15,10,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,100612,1,0,0,0,0,0,0,75,False,0,Newcastle,Arsenal,MID,0
Michael Keane,0,2,26,1,0.5,143,4,0,0,2.5,24.4,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,159291,0,0,0,8,0,0,0,55,False,0,Crystal Palace,Everton,DEF,0
Michael McGovern,0,0,0,0,0.0,281,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,0,0,0,0,1,0,274630,1,4,0,0,0,0,0,40,False,0,Liverpool,Norwich,GK,0
Michael Obafemi,0,0,0,0,0.4,314,3,2,0,0.4,0.0,2019-08-10T14:00:00Z,24,0,0,0,0,1,0,14065,0,3,4,1,0,0,0,50,False,0,Burnley,Southampton,FWD,0
Michael Verrips,0,0,0,0,0.0,521,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,1248,1,1,0,0,0,0,0,45,False,0,Bournemouth,Sheffield Utd,GK,0
Michail Antonio,0,0,2,0,12.3,389,8,1,0,1.6,3.8,2019-08-10T11:30:00Z,45,0,0,0,0,1,0,96528,5,0,0,1,0,0,0,70,True,0,Man City,West Ham,MID,0
Michy Batshuayi,0,0,0,0,0.0,461,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,48493,0,4,0,0,0,0,0,70,False,0,Man Utd,Chelsea,FWD,0
Miguel Almirón,0,0,2,0,13.5,266,10,1,0,3.6,1.4,2019-08-11T13:00:00Z,90,0,0,0,0,1,0,46041,1,0,21,1,0,0,0,60,True,1,Arsenal,Newcastle,MID,0
Mohamed Elneny,0,0,0,0,0.0,20,10,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,22214,1,0,0,0,0,0,0,45,False,0,Newcastle,Arsenal,MID,0
Mohamed Elyounoussi,0,0,0,0,0.0,322,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,3694,0,3,0,0,0,0,0,55,False,0,Burnley,Southampton,MID,0
Mohamed Salah,1,2,40,0,39.7,191,1,1,1,13.4,54.8,2019-08-09T19:00:00Z,90,0,0,0,0,1,0,2375465,1,4,39,12,0,0,0,125,True,0,Norwich,Liverpool,MID,0
Moise Kean,0,0,4,0,0.2,496,4,0,0,0.1,1.0,2019-08-10T14:00:00Z,21,0,0,0,0,1,0,401577,0,0,0,1,0,0,0,70,False,0,Crystal Palace,Everton,FWD,0
Morgan Gibbs-White,0,0,0,0,0.0,416,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,6061,0,0,0,0,0,0,0,50,False,0,Leicester,Wolves,MID,0
Morgan Schneiderlin,0,0,1,1,13.1,158,4,0,0,2.3,9.4,2019-08-10T14:00:00Z,75,0,0,0,1,1,0,74476,0,0,0,0,0,0,0,45,False,0,Crystal Palace,Everton,MID,0
Moritz Leitner,0,0,-3,0,1.2,288,1,0,0,0.6,1.2,2019-08-09T19:00:00Z,32,0,0,0,0,1,0,17197,1,4,4,0,0,0,0,45,False,1,Liverpool,Norwich,MID,0
Moussa Djenepo,0,0,0,0,0.0,438,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,5892,0,3,0,0,0,0,0,55,False,0,Burnley,Southampton,MID,0
Moussa Sissoko,1,0,13,0,20.3,349,6,1,0,8.9,17.8,2019-08-10T16:30:00Z,90,0,0,0,0,1,0,84388,1,3,51,5,0,0,0,50,True,0,Aston Villa,Spurs,MID,0
Muhamed Bešić,0,0,0,0,0.0,522,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,12216,1,1,0,0,0,0,0,45,False,0,Bournemouth,Sheffield Utd,MID,0
N'Golo Kanté,0,0,-1,0,0.9,119,9,1,0,0.8,7.2,2019-08-11T15:30:00Z,17,0,0,0,0,1,0,396047,0,4,0,0,0,0,0,50,False,1,Man Utd,Chelsea,MID,0
Naby Keita,0,0,0,0,0.0,196,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,0,0,0,0,1,0,32077,1,4,0,0,0,0,0,60,True,0,Norwich,Liverpool,MID,0
Nacho Monreal,0,1,27,1,15.6,6,10,0,0,3.4,14.2,2019-08-11T13:00:00Z,90,0,0,0,0,1,0,56083,1,0,4,7,0,0,0,50,False,0,Newcastle,Arsenal,DEF,0
Nampalys Mendy,0,0,0,0,0.0,179,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,0,0,0,0,1,0,52604,0,0,0,0,0,0,0,45,True,0,Wolves,Leicester,MID,0
Nathaniel Chalobah,0,0,0,0,0.0,374,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,15914,3,0,0,0,0,0,0,45,True,0,Brighton,Watford,MID,0
Nathan Aké,0,0,19,0,21.7,59,2,1,0,6.0,16.4,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,1076302,1,1,22,2,0,0,0,50,True,0,Sheffield Utd,Bournemouth,DEF,0
Nathan Redmond,0,0,7,0,3.1,320,3,3,0,3.5,2.4,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,131545,0,3,29,2,0,0,0,65,False,0,Burnley,Southampton,MID,0
Neal Maupay,0,1,27,0,0.0,502,7,0,1,0.0,0.0,2019-08-10T14:00:00Z,26,0,0,0,0,1,0,19770,3,0,0,6,0,0,0,60,False,0,Watford,Brighton,FWD,0
Neil Taylor,0,0,13,0,1.0,24,6,3,0,2.5,24.2,2019-08-10T16:30:00Z,90,0,0,0,0,1,0,12095,1,3,0,1,0,0,0,45,False,0,Spurs,Aston Villa,DEF,0
Nemanja Matic,0,0,0,0,0.0,247,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,36386,0,4,0,0,0,0,0,50,True,0,Chelsea,Man Utd,MID,0
Nick Pope,0,1,28,1,10.0,93,3,0,0,3.6,25.6,2019-08-10T14:00:00Z,90,0,0,0,0,1,3,344271,0,3,0,8,0,0,0,45,True,0,Southampton,Burnley,GK,0
Nicolas Pépé,0,0,2,0,1.6,488,10,0,0,0.2,0.2,2019-08-11T13:00:00Z,19,0,0,0,0,1,0,283730,1,0,0,1,0,0,0,95,False,0,Newcastle,Arsenal,MID,0
Nicolás Otamendi,0,0,0,0,0.0,208,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,0,0,0,0,1,0,80133,5,0,0,0,0,0,0,55,False,0,West Ham,Man City,DEF,0
Oleksandr Zinchenko,0,0,26,1,25.0,206,8,0,0,4.4,17.8,2019-08-10T11:30:00Z,90,0,0,0,0,1,0,608638,5,0,1,6,0,0,0,55,False,0,West Ham,Man City,DEF,0
Oliver McBurnie,0,0,3,0,1.4,501,2,0,0,0.9,3.4,2019-08-10T14:00:00Z,27,0,0,0,0,1,0,9589,1,1,4,1,0,0,0,60,False,0,Bournemouth,Sheffield Utd,FWD,0
Oliver Norwood,0,0,16,0,21.3,302,2,1,0,3.8,16.6,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,21532,1,1,0,2,0,0,0,50,False,0,Bournemouth,Sheffield Utd,MID,0
Oliver Skipp,0,0,3,0,0.1,352,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,1,0,0,0,0,1,0,25018,1,3,0,1,0,0,0,45,True,0,Aston Villa,Spurs,MID,0
Olivier Giroud,0,0,2,0,0.6,110,9,2,0,0.0,0.0,2019-08-11T15:30:00Z,24,0,0,0,0,1,0,130453,0,4,0,1,0,0,0,70,False,0,Man Utd,Chelsea,FWD,0
Onel Hernández,0,0,0,0,0.6,284,1,0,0,2.1,0.0,2019-08-09T19:00:00Z,20,0,0,0,0,1,0,12943,1,4,22,1,0,0,0,55,False,0,Liverpool,Norwich,MID,0
Oriol Romeu,0,0,8,0,12.6,328,3,3,0,3.2,8.8,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,71666,0,3,11,2,0,0,0,45,False,0,Burnley,Southampton,MID,0
Pablo Fornals,0,0,3,0,1.4,399,8,4,0,0.8,6.6,2019-08-10T11:30:00Z,45,0,0,0,0,1,0,56910,5,0,0,1,0,0,0,65,True,0,Man City,West Ham,MID,0
Pablo Zabaleta,0,0,0,0,0.0,379,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,0,0,0,0,1,0,45630,5,0,0,0,0,0,0,45,True,0,Man City,West Ham,DEF,0
