name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Kevin Danso,0,0,0,0,0.0,532,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,2063,1,0,0.0,0,-35,41,76,43,True,0,West Ham,Southampton,DEF
Pedro Rodríguez Ledesma,0,0,0,0,0.0,114,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,85839,1,0,0.0,0,-1213,171,1384,68,True,0,Bournemouth,Chelsea,MID
Tyreke Johnson,0,0,0,0,0.0,326,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,1892,1,0,0.0,0,130,244,114,44,True,0,West Ham,Southampton,MID
Callum Wilson,0,0,0,0,0.0,67,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,376013,1,0,0.0,0,-71729,461,72190,75,False,0,Chelsea,Bournemouth,FWD
Çaglar Söyüncü,0,1,20,0,1.3,164,165,1,0,5.1,30.6,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,1478892,1,1,19.0,3,37365,70974,33609,51,True,0,Norwich,Leicester,DEF
Lloyd Kelly,0,0,0,0,0.0,64,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,4041,1,0,0.0,0,28,483,455,44,False,0,Chelsea,Bournemouth,DEF
Diego Rico,0,0,27,1,29.0,65,163,0,0,5.8,27.2,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,997591,1,0,2.0,6,14230,38251,24021,43,False,0,Chelsea,Bournemouth,DEF
Wesley Hoedt,0,0,0,0,0.0,485,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,2774,1,0,0.0,0,-19,56,75,43,True,0,West Ham,Southampton,DEF
Tahith Chong,0,0,0,0,0.0,249,167,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,61415,1,1,0.0,0,17490,21819,4329,43,True,0,Everton,Man Utd,MID
Jan Vertonghen,0,2,26,0,0.6,330,170,1,1,7.8,60.0,2019-12-15T14:00:00Z,90,0,0,0,0,17,0,112044,2,1,17.0,10,9337,10768,1431,52,False,0,Wolves,Spurs,DEF
