name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Ben_Johnson_384,0,0,0,0,0,384,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,176666,0,2,0,0,-1895,581,2476,40,FALSE,0,Spurs
Ben_Mee_83,0,2,28,1,10.3,83,301,0,0,3.7,24.8,2020-06-25T17:00:00Z,90,0,0,0,0,31,0,83008,0,1,2,8,130,2696,2566,50,TRUE,0,Watford
Ben_Osborn_472,0,0,0,0,0,472,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,2723,0,3,0,0,-56,19,75,47,FALSE,0,Man Utd
Beram_Kayal_56,0,0,0,0,0,56,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,11174,0,0,0,0,-201,97,298,43,FALSE,0,Leicester
Bernardo Mota_Veiga de Carvalho e Silva_218,0,0,2,0,13.1,218,302,1,0,2.7,0,2020-06-25T19:15:00Z,54,0,0,0,0,31,0,657346,1,2,14,1,-15647,5923,21570,77,FALSE,0,Chelsea
Bernardo_Costa Da Rosa_595,0,0,0,0,0,595,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,630,0,2,0,0,3,37,34,45,FALSE,0,Spurs
Bernardo_Fernandes da Silva Junior_39,0,0,0,0,0,39,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,8089,0,0,0,0,-63,38,101,43,FALSE,0,Leicester
Bernard_Anício Caldeira Duarte_152,0,0,17,1,37.8,152,307,0,0,6.1,19.6,2020-06-24T17:00:00Z,86,0,0,0,0,31,0,49106,1,0,4,3,-44,483,527,64,FALSE,0,Norwich
Bernard_Ashley-Seal_559,0,0,0,0,0,559,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,3506,0,1,0,0,-29,47,76,45,TRUE,0,Bournemouth
Bernd_Leno_14,0,0,0,0,0,14,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,423066,2,0,0,0,-164520,3018,167538,49,FALSE,0,Southampton
Billy_Gilmour_533,0,0,3,0,10,533,302,0,0,1.1,1.2,2020-06-25T19:15:00Z,1,0,0,0,0,31,0,27211,1,2,0,1,-2364,1444,3808,45,TRUE,0,Man City
Billy_Sharp_298,0,0,0,0,0,298,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,44568,0,3,0,0,-5472,872,6344,56,FALSE,0,Man Utd
Birkir_Bjarnason_33,0,0,0,0,0,33,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,2301,1,1,0,0,-19,3,22,45,FALSE,0,Newcastle
Bjorn_Engels_455,0,0,0,0,0,455,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,32557,1,1,0,0,-2469,19,2488,43,FALSE,0,Newcastle
Bobby_Thomas_639,0,0,0,0,0,639,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,125,0,1,0,0,61,70,9,40,TRUE,0,Watford
Borja_González Tomás_623,0,0,0,0,0,623,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,800,1,1,0,0,-196,49,245,54,FALSE,0,Newcastle
Brandon_Austin_558,0,0,0,0,0,558,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,13131,0,2,0,0,-117,137,254,40,TRUE,0,West Ham
Brandon_Pierrick_580,0,0,2,0,0,580,304,0,0,0.2,2,2020-06-24T19:15:00Z,6,0,0,0,0,31,0,495,0,4,0,1,-13,22,35,45,FALSE,0,Liverpool
Brandon_Williams_549,0,0,0,0,0,549,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,305168,0,3,0,0,-14049,5575,19624,42,TRUE,0,Sheffield Utd
Bruno André_Cavaco Jordao_609,0,0,0,0,0,609,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,1091,0,1,0,0,-9,80,89,45,TRUE,0,Bournemouth
Bruno Miguel_Borges Fernandes_618,0,0,12,1,21,618,305,0,0,5.7,12.8,2020-06-24T17:00:00Z,79,0,0,0,0,31,0,1557042,0,3,23,3,206767,217728,10961,87,TRUE,0,Sheffield Utd
Bukayo_Saka_541,0,0,6,1,27.6,541,308,0,0,4.2,10.8,2020-06-25T17:00:00Z,90,0,0,0,0,31,0,404723,2,0,4,2,5952,48434,42482,47,FALSE,1,Southampton
Callum_Hudson-Odoi_116,0,0,0,0,0,116,302,0,0,0,0,2020-06-25T19:15:00Z,0,0,0,0,0,31,0,34321,1,2,0,0,-1230,558,1788,52,TRUE,0,Man City
Callum_Robinson_453,0,0,0,0,0,453,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,15602,0,3,0,0,-88,18,106,49,FALSE,0,Man Utd
Callum_Slattery_327,0,0,0,0,0,327,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,19845,2,0,0,0,-219,12,231,44,TRUE,0,Arsenal
Callum_Wilson_67,0,0,-1,0,0.8,67,310,1,0,0.2,0,2020-06-24T17:00:00Z,90,0,0,0,0,31,0,343533,0,1,2,1,-5813,1754,7567,74,FALSE,1,Wolves
Calum_Chambers_467,0,0,0,0,0,467,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,44003,2,0,0,0,-280,13,293,43,FALSE,0,Southampton
