ep_this,second_name,id,element_type,team,web_name,first_name
0.0,Tavares Gomes,184,3,8,André Gomes,André
5.5,Doucouré,185,3,8,A.Doucouré,Abdoulaye
2.8,Iwobi,186,3,8,Iwobi,Alex
0.0,Gbamin,187,3,8,Gbamin,Jean-Philippe
6.8,Mina,188,2,8,Mina,Yerry
2.2,Gray,189,3,8,Gray,Demarai
0.1,Davies,190,3,8,Davies,Tom
0.0,Calvert-Lewin,191,4,8,Calvert-Lewin,Dominic
0.8,Holgate,192,2,8,Holgate,Mason
0.0,Godfrey,193,2,8,Godfrey,Ben
0.4,Mykolenko,194,2,8,Mykolenko,Vitalii
0.0,Branthwaite,196,2,8,Branthwaite,Jarrad
0.0,Patterson,197,2,8,Patterson,Nathan
0.0,Nkounkou,198,2,8,Nkounkou,Niels
4.2,Tarkowski,199,2,8,Tarkowski,James
2.8,Coady,475,2,8,Coady,Conor
0.0,Nascimento Vinagre,531,2,8,Vinagre,Rúben
2.8,McNeil,534,3,8,McNeil,Dwight
0.5,Mills,560,3,8,Mills,Stanley
0.0,Warrington,561,3,8,Warrington,Lewis
2.2,Garner,570,3,8,Garner,James
2.5,Onana,577,3,8,Onana,Amadou
0.5,Welch,605,2,8,Welch,Reece
2.5,Gueye,611,3,8,Gueye,Idrissa
0.0,Jakupovic,627,1,8,Jakupović,Eldin
0.5,John,637,2,8,John,Kyle
0.0,Cannon,662,4,8,Cannon,Thomas
0.5,Price,678,3,8,Price,Isaac
0.8,Simms,686,4,8,Simms,Ellis
0.0,Samuels-Smith,757,2,8,Samuels-Smith,Ishé
0.5,Lonergan,760,1,8,Lonergan,Andy
0.5,McAllister,768,3,8,McAllister,Sean
0.0,Alves Soares,1,2,9,Cédric,Cédric
4.3,Leno,2,1,9,Leno,Bernd
0.0,Duffy,105,2,9,Duffy,Shane
2.3,Cairney,200,3,9,Cairney,Tom
0.0,Ream,201,2,9,Ream,Tim
0.0,Knockaert,202,3,9,Knockaert,Anthony
0.0,Chalobah,203,3,9,Chalobah,Nathaniel
0.3,Kebano,204,3,9,Kebano,Neeskens
0.7,De Cordova-Reid,205,3,9,De Cordova-Reid,Bobby
0.0,Bryan,206,2,9,Bryan,Joe
0.0,Gazzaniga Farias,207,1,9,Gazzaniga,Paulo
0.0,Kongolo,208,2,9,Kongolo,Terence
2.3,Adarabioyo,209,2,9,Tosin,Tosin
5.7,Mitrović,210,4,9,Mitrović,Aleksandar
3.0,Reed,211,3,9,Reed,Harrison
4.3,Wilson,212,3,9,Wilson,Harry
0.0,Rodák,213,1,9,Rodák,Marek
0.0,Neves Abreu Cavaleiro,214,3,9,Cavaleiro,Ivan
5.0,Tete,215,2,9,Tete,Kenny
0.0,Onomah,216,3,9,Onomah,Josh
2.3,Robinson,217,2,9,Robinson,Antonee
0.0,Muniz Carvalho,218,4,9,Muniz,Rodrigo
0.0,Stansfield,219,4,9,Stansfield,Jay
1.7,Palhinha Gonçalves,220,3,9,Palhinha,João
0.2,James,231,3,9,James,Daniel
0.0,Hoelgebaum Pereira,346,3,9,Andreas,Andreas
3.3,Diop,470,2,9,Diop,Issa
0.0,Francois,521,3,9,Francois,Tyrese
0.0,Mbabu,532,2,9,Mbabu,Kevin
0.0,Harris,546,3,9,Harris,Luke
1.0,Solomon,562,3,9,Solomon,Manor
0.0,Ablade,591,4,9,Ablade,Terry
0.0,Kurzawa,613,2,9,Kurzawa,Layvin
4.7,Borges da Silva,614,3,9,Willian,Willian
3.3,Alves Morais,618,4,9,Vinícius,Carlos Vinícius
0.0,Parkes,636,2,9,Parkes,Stefan
0.0,Godo,641,3,9,Godo,Martial
0.0,Sekularac,667,3,9,Sekularac,Kristian
1.0,Lukic,726,3,9,Lukic,Sasa
0.0,Wickens,747,1,9,Wickens,George
0.0,Robinson,750,2,9,C.Robinson,Charlie
0.0,Dibley-Dias,763,3,9,Dibley-Dias,Matthew
0.0,Schmeichel,248,1,10,Schmeichel,Kasper
2.7,Evans,249,2,10,Evans,Jonny
0.0,Bertrand,250,2,10,Bertrand,Ryan
0.0,Albrighton,251,3,10,Albrighton,Marc
0.7,Mendy,252,3,10,Mendy,Nampalys
0.0,Vestergaard,253,2,10,Vestergaard,Jannik
0.0,Ward,254,1,10,Ward,Danny
1.7,Vardy,255,4,10,Vardy,Jamie
0.3,Barbosa Pereira,256,2,10,Ricardo,Ricardo
0.0,Amartey,257,2,10,Amartey,Daniel
3.0,Castagne,258,2,10,Castagne,Timothy
3.7,Tielemans,259,3,10,Tielemans,Youri
0.0,Pérez,260,3,10,Pérez,Ayoze
1.7,Maddison,261,3,10,Maddison,James
2.0,Iheanacho,262,4,10,Iheanacho,Kelechi
0.0,Choudhury,263,3,10,Choudhury,Hamza
3.3,Barnes,264,3,10,Barnes,Harvey
0.8,Ndidi,265,3,10,Ndidi,Wilfred
1.0,Dewsbury-Hall,266,3,10,Dewsbury-Hall,Kiernan
0.0,Söyüncü,267,2,10,Söyüncü,Çaglar
0.0,Justin,268,2,10,Justin,James
2.3,Soumaré,269,3,10,Soumaré,Boubakary
2.7,Thomas,270,2,10,Thomas,Luke
0.7,Daka,271,4,10,Daka,Patson
0.0,Brunt,273,2,10,Brunt,Lewis
4.0,Iversen,548,1,10,Iversen,Daniel
0.0,Praet,549,3,10,Praet,Dennis
0.0,Smithies,581,1,10,Smithies,Alex
5.7,Faes,612,2,10,Faes,Wout
0.0,Braybrooke,639,3,10,Braybrooke,Sammy
0.0,Wormleighton,645,2,10,Wormleighton,Joe
0.0,McAteer,687,3,10,McAteer,Kasey
0.0,Kristiansen,709,2,10,Kristiansen,Victor
0.3,Cardoso Lemos Martins,715,3,10,Tetê,Mateus
2.3,Souttar,727,2,10,Souttar,Harry
0.0,Marçal-Madivadua,735,3,10,Marçal-Madivadua,Wanya
-0.3,Cooper,221,2,11,Cooper,Liam
3.3,Ayling,222,2,11,Ayling,Luke
0.0,Klich,223,3,11,Klich,Mateusz
1.7,Forshaw,224,3,11,Forshaw,Adam
3.2,Moreno,225,3,11,Rodrigo,Rodrigo
0.0,Dallas,226,2,11,Dallas,Stuart
0.5,Bamford,227,4,11,Bamford,Patrick
0.0,Llorente,228,2,11,Llorente,Diego
0.0,Roberts,229,3,11,Roberts,Tyler
0.3,Koch,230,2,11,Koch,Robin
0.0,Dias Belloli,232,3,11,Raphinha,Raphael
4.0,Harrison,233,3,11,Harrison,Jack
0.0,Shackleton,234,3,11,Shackleton,Jamie
0.3,Struijk,235,2,11,Struijk,Pascal
0.0,Klaesson,236,1,11,Klaesson,Kristoffer
0.7,Greenwood,237,4,11,Greenwood,Sam
0.0,Meslier,238,1,11,Meslier,Illan
-0.7,Firpo Adames,239,2,11,Firpo,Junior
0.0,Summerville,240,3,11,Summerville,Crysencio
0.0,Bate,241,3,11,Bate,Lewis
0.0,Gelhardt,242,4,11,Gelhardt,Joe
